score,emotion,country,D
10,Happy,Canada,CA        
10,Happy,Canada,CA        
10,Happy,Canada,CA        
10,Happy,Canada,CA        
10,Happy,Canada,CA        
10,Happy,Canada,CA        
10,Happy,Canada,CA        
10,Happy,Canada,CA        
10,Happy,Canada,CA        
10,Happy,Canada,CA        
10,Happy,Canada,CA        
10,Happy,Canada,CA        
10,Happy,Canada,CA        
10,Happy,Canada,CA        
10,Happy,Canada,CA        
10,Happy,Canada,CA        
10,Happy,Canada,CA        
10,Happy,Canada,CA        
10,Happy,Canada,CA        
10,Happy,Canada,CA        
10,Happy,Canada,CA        
