score,emotion,country,D
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
10,Happy,United Kingdom,GB        
8,Powerful,United Kingdom,GB        
8,Powerful,United Kingdom,GB        
8,Powerful,United Kingdom,GB        
8,Powerful,United Kingdom,GB        
8,Powerful,United Kingdom,GB        
8,Powerful,United Kingdom,GB        
8,Powerful,United Kingdom,GB        
8,Powerful,United Kingdom,GB        
8,Powerful,United Kingdom,GB        
8,Powerful,United Kingdom,GB        
8,Powerful,United Kingdom,GB        
8,Powerful,United Kingdom,GB        
8,Powerful,United Kingdom,GB        
