score,emotion,country,D
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
10,Happy,Germany,DE        
